,conf_name,energy
155,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00023.POSCAR_all_sites/CONTCAR,-360.63688336
450,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,-360.62631598
50,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,-360.6240944
393,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00398.POSCAR_all_sites/CONTCAR,-360.59155879
43,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00265.POSCAR_all_sites/CONTCAR,-360.58001804
60,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,-360.574314
82,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00261.POSCAR_all_sites/CONTCAR,-360.5657573
330,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00249.POSCAR_all_sites/CONTCAR,-360.54890241
190,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,-360.54513374
321,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,-360.54035721
126,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,-360.53844148
158,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,-360.53009782
101,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00076.POSCAR_all_sites/CONTCAR,-360.53006546
25,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,-360.52206194
224,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00337.POSCAR_all_sites/CONTCAR,-360.52140029
416,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00331.POSCAR_all_sites/CONTCAR,-360.5114251
380,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,-360.50615845
159,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,-360.50139239
474,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,-360.50116704
298,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,-360.49400954
42,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,-360.48866091
476,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,-360.48696627
314,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,-360.48582318
112,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-360.48471005
295,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,-360.48298457
322,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00256.POSCAR_all_sites/CONTCAR,-360.48011306
118,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,-360.47924544
76,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-360.47497603
381,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,-360.47303192
355,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,-360.46945743
117,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,-360.46822149
391,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00340.POSCAR_all_sites/CONTCAR,-360.465069
191,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00182.POSCAR_all_sites/CONTCAR,-360.45848279
197,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-360.45624245
